date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2025-12-03,3.15,1,2,6.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,10ddd24ff9654mig
2025-12-04,6.25,2,1.5,8,,,,,4,1,,2.5,,,,,FALSE,FALSE,FALSE,,65d77e55d4254mig
2025-12-05,5,2,4,8.5,,,,55,,,3,4,,,,,FALSE,FALSE,TRUE,,ace805ebc3634mig
2025-12-06,4,1.2,3.5,7.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,013313d9abce4mig
2025-12-07,2.4,1,3,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,791012096fb64mig
2025-12-08,2,1,1.5,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,1328af20f9434mig
2025-12-09,4,2,4.5,5.75,,,75,62,3.25,1,4,4,,,,,FALSE,FALSE,FALSE,,94984f3f60274mig
2025-12-10,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2b6070eed64b4mig
2025-12-11,7,3.5,4.25,10,,,85,89,3.8,1.1,,5.25,,,,,TRUE,TRUE,FALSE,,2f06e75ffc654mig
2025-12-12,5.5,2.25,4,8.1,,,,,,,,,,,,,FALSE,FALSE,FALSE,,b925091135c44mig
2025-12-13,4.25,2.25,4,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,337dd781f1b84mig
2025-12-14,3.7,2.15,4,3.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,3c88545873394mig
2025-12-15,3.1,1.5,3,3,,,,,,,,,,,,,FALSE,FALSE,TRUE,,313d2ca483424mig
2025-12-16,4.5,2.25,4,7.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,c6cddc1dc6584mig
2025-12-17,4,2.25,3,6.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,02760cdfa8c94mig
2025-12-18,7.25,3.75,2.75,12,,,,,,,,,,,,,TRUE,FALSE,FALSE,,d20217449c844mig
2025-12-19,5.25,4,2,10.25,,,90,110,4,1.25,,7.5,,,,,FALSE,TRUE,FALSE,,bb09ae26cd924mig
2025-12-20,4.75,2.75,2,8,,,,,,,,,,,,,FALSE,FALSE,FALSE,,8d2a1dc5930c4mig
